iso_639_1,Name,,,
af,Afrikaans,,,
am,,,,
ar,العربية,,,
ay,,,,
be,,,,
bg,български език,,,
bm,Bamanankan,,,
bn,,,,
bo,,,,
bs,,,,
ca,Català,,,
ce,,,,
cn,广州话 / 廣州話,,,
co,,,,
cs,Český,,,
cy,Cymraeg,,,
da,Dansk,,,
de,Deutsch,,,
dz,,,,
el,ελληνικά,,,
en,English,,,
eo,,,,
es,Español,,,
eu,euskera,,,
fa,,,,
fi,suomi,,,
fr,Français,,,
ga,Gaeilge,,,
gd,,,,
gl,Galego,,,
he,עִבְרִית,,,
hi,हिन्दी,,,
hr,Hrvatski,,,
ht,,,,
hu,Magyar,,,
hy,,,,
id,Bahasa indonesia,,,
is,Íslenska,,,
it,Italiano,,,
iu,,,,
ja,日本語,,,
jv,,,,
ka,ქართული,,,
ki,,,,
km,,,,
ko,한국어/조선말,,,
ku,,,,
la,Latin,,,
ln,,,,
lo,,,,
mi,,,,
mk,,,,
ml,,,,
mn,,,,
ms,Bahasa melayu,,,
nb,Bokmål,,,
ne,,,,
nl,Nederlands,,,
no,Norsk,,,
oc,,,,
pl,Polski,,,
ps,پښتو,,,
pt,Português,,,
qu,,,,
ro,Română,,,
ru,Pусский,,,
sa,,,,
sh,,,,
si,,,,
sk,Slovenčina,,,
so,Somali,,,
sq,shqip,,,
sr,Srpski,,,
sv,svenska,,,
sw,Kiswahili,,,
ta,தமிழ்,,,
th,ภาษาไทย,,,
tl,,,,
tr,Türkçe,,,
tt,,,,
uk,Український,,,
ur,اردو,,,
vi,Tiếng Việt,,,
wo,Wolof,,,
xh,,,,
yi,,,,
zh,中国,,,
zu,isiZulu,,,